date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-05-22,heartbeat,claude-haiku-4-5-20251001,58,2510,254496,11287
2026-05-22,heartbeat,claude-haiku-4-5-20251001,30,1594,119269,9731
